72.97	-114.75	269.10
72.97	-110.25	318.80
72.97	-108.00	299.70
72.97	-107.25	304.70
72.97	-106.50	305.30
72.97	-105.75	306.40
72.97	-102.00	281.70
72.97	-99.75	267.10
72.97	-99.00	267.30
72.97	-98.25	270.30
72.97	-97.50	272.90
72.97	-96.75	322.40
72.97	-95.25	287.80
72.97	-94.50	301.10
72.97	-93.75	305.80
72.97	-93.00	310.40
72.97	-92.25	306.70
72.97	-89.25	330.70
72.97	-88.50	285.50
72.97	-87.75	292.60
72.97	-87.00	299.00
72.97	-85.50	331.00
72.97	-84.75	296.70
72.97	-84.00	289.20
72.97	-83.25	284.80
72.97	-82.50	281.30
72.97	-81.75	279.20
72.97	-81.00	277.60
72.97	-79.50	280.20
72.97	-78.75	285.00
72.97	-78.00	291.80
72.97	-77.25	311.10
72.97	-76.50	343.50
72.97	-55.50	522.60
72.97	-54.75	523.80
72.97	-54.00	528.10
72.97	-53.25	505.30
72.97	-52.50	485.50
72.97	-51.75	452.70
72.97	-51.00	416.10
72.97	-50.25	370.90
72.97	-49.50	322.20
72.97	-48.75	275.70
72.97	-48.00	240.00
72.97	-47.25	218.10
72.97	-46.50	221.60
72.97	-45.75	245.80
72.97	-45.00	286.60
72.97	-44.25	317.50
72.97	-43.50	329.50
72.97	-42.75	312.40
72.97	-42.00	275.60
72.97	-41.25	232.10
72.97	-40.50	185.30
72.97	-39.75	144.00
72.97	-39.00	115.90
72.97	-38.25	105.90
72.97	-37.50	100.00
72.97	-36.75	96.50
72.97	-36.00	96.70
72.97	-35.25	95.80
72.97	-34.50	97.70
72.97	-33.75	104.90
72.97	-33.00	117.00
72.97	-32.25	130.30
72.97	-31.50	152.70
72.97	-30.75	177.70
72.97	-30.00	204.10
72.97	-29.25	236.00
72.97	-28.50	272.00
72.97	-27.75	314.60
72.97	-27.00	369.70
72.97	-26.25	427.70
72.97	-25.50	481.40
72.97	-24.00	540.00
72.97	-23.25	559.10
72.97	-22.50	585.50
72.97	53.25	543.20
72.97	54.00	523.30
72.97	54.75	587.20
72.97	55.50	549.00
72.97	74.25	437.70
72.97	81.00	444.50
72.97	81.75	446.40
72.97	82.50	453.20
72.97	83.25	450.20
72.97	84.00	445.30
72.97	84.75	440.30
72.97	85.50	445.30
72.97	86.25	449.40
72.97	87.00	452.10
72.97	87.75	456.20
72.97	88.50	454.90
72.97	89.25	457.00
72.97	90.00	451.40
72.97	90.75	441.70
72.97	91.50	415.80
72.97	92.25	393.40
72.97	93.00	371.80
72.97	93.75	353.50
72.97	94.50	342.00
72.97	95.25	331.60
72.97	96.00	327.00
72.97	96.75	325.30
72.97	97.50	323.00
72.97	98.25	317.40
72.97	99.00	315.90
72.97	99.75	309.30
72.97	100.50	310.20
72.97	101.25	321.00
72.97	102.00	329.90
72.97	102.75	347.90
72.97	103.50	361.80
72.97	104.25	368.70
72.97	105.00	371.50
72.97	105.75	366.30
72.97	106.50	352.40
72.97	107.25	338.70
72.97	108.00	322.60
72.97	108.75	304.20
72.97	109.50	298.40
72.97	110.25	296.70
72.97	111.00	298.40
72.97	111.75	305.50
72.97	112.50	309.60
72.97	113.25	315.60
72.97	114.00	311.60
72.97	114.75	299.00
72.97	115.50	293.10
72.97	116.25	282.90
72.97	117.00	274.20
72.97	117.75	268.00
72.97	118.50	270.90
72.97	119.25	276.70
72.97	120.00	279.90
72.97	123.75	286.70
72.97	124.50	282.90
72.97	125.25	283.50
72.97	126.00	280.10
72.97	126.75	275.30
72.97	127.50	274.80
72.97	128.25	272.30
72.22	-125.25	256.90
72.22	-124.50	265.50
72.22	-123.75	266.10
72.22	-123.00	270.30
72.22	-122.25	267.10
72.22	-121.50	262.80
72.22	-120.75	258.30
72.22	-117.75	249.80
72.22	-117.00	249.60
72.22	-116.25	259.30
72.22	-115.50	268.10
72.22	-114.75	283.00
72.22	-114.00	299.70
72.22	-113.25	311.00
72.22	-112.50	327.40
72.22	-111.75	330.60
72.22	-111.00	331.50
72.22	-110.25	324.60
72.22	-109.50	310.60
72.22	-108.75	296.00
72.22	-107.25	282.30
72.22	-106.50	280.50
72.22	-105.75	285.20
72.22	-100.50	298.30
72.22	-99.75	294.00
72.22	-99.00	285.20
72.22	-98.25	279.80
72.22	-97.50	275.70
72.22	-96.75	276.80
72.22	-94.50	290.00
72.22	-89.25	300.90
72.22	-88.50	308.20
72.22	-87.75	316.90
72.22	-87.00	321.10
72.22	-84.00	336.60
72.22	-83.25	335.40
72.22	-82.50	332.50
72.22	-81.75	329.70
72.22	-81.00	326.20
72.22	-79.50	311.20
72.22	-78.75	336.50
72.22	-78.00	294.10
72.22	-77.25	287.90
72.22	-76.50	296.40
72.22	-75.75	313.80
72.22	-55.50	440.30
72.22	-54.75	458.70
72.22	-54.00	510.20
72.22	-53.25	530.20
72.22	-52.50	554.40
72.22	-51.75	566.90
72.22	-51.00	577.10
72.22	-50.25	562.90
72.22	-49.50	521.50
72.22	-48.75	464.30
72.22	-48.00	396.30
72.22	-47.25	325.20
72.22	-46.50	269.10
72.22	-45.75	234.30
72.22	-45.00	237.20
72.22	-44.25	262.30
72.22	-43.50	300.30
72.22	-42.75	327.10
72.22	-42.00	327.50
72.22	-41.25	309.70
72.22	-40.50	273.90
72.22	-39.75	231.50
72.22	-39.00	187.10
72.22	-38.25	151.10
72.22	-37.50	125.90
72.22	-36.75	114.20
72.22	-36.00	109.40
72.22	-35.25	112.10
72.22	-34.50	121.20
72.22	-33.75	134.40
72.22	-33.00	153.90
72.22	-32.25	181.80
72.22	-31.50	199.10
72.22	-30.75	215.50
72.22	-30.00	231.40
72.22	-29.25	247.60
72.22	-28.50	276.50
72.22	-27.75	328.90
72.22	-27.00	391.40
72.22	-26.25	478.40
72.22	-24.75	697.70
72.22	-24.00	798.50
72.22	-22.50	924.00
72.22	53.25	604.30
72.22	54.00	659.50
72.22	54.75	562.80
72.22	55.50	663.40
72.22	69.00	423.20
72.22	69.75	444.30
72.22	70.50	466.70
72.22	71.25	483.10
72.22	72.00	492.00
72.22	78.00	425.90
72.22	78.75	430.10
72.22	79.50	433.10
72.22	82.50	467.00
72.22	83.25	458.70
72.22	84.00	452.90
72.22	84.75	443.40
72.22	85.50	435.30
72.22	86.25	431.90
72.22	87.00	436.60
72.22	87.75	447.10
72.22	88.50	471.30
72.22	89.25	498.50
72.22	90.00	524.80
72.22	90.75	543.00
72.22	91.50	535.70
72.22	92.25	509.80
72.22	93.00	478.60
72.22	93.75	445.90
72.22	94.50	416.20
72.22	95.25	397.50
72.22	96.00	376.20
72.22	96.75	364.80
72.22	97.50	357.90
72.22	98.25	342.70
72.22	99.00	325.70
72.22	99.75	309.60
72.22	100.50	287.90
72.22	101.25	272.70
72.22	102.00	267.70
72.22	102.75	271.40
72.22	103.50	289.90
72.22	104.25	313.30
72.22	105.00	341.40
72.22	105.75	359.70
72.22	106.50	356.60
72.22	107.25	353.70
72.22	108.00	349.40
72.22	108.75	340.10
72.22	109.50	334.50
72.22	110.25	335.00
72.22	111.00	335.20
72.22	111.75	341.00
72.22	112.50	337.50
72.22	113.25	336.90
72.22	114.00	325.10
72.22	114.75	308.60
72.22	115.50	287.90
72.22	116.25	278.70
72.22	117.00	269.30
72.22	117.75	266.40
72.22	118.50	269.90
72.22	119.25	283.10
72.22	120.00	292.60
72.22	120.75	301.50
72.22	121.50	305.70
72.22	122.25	309.50
72.22	123.00	309.30
72.22	123.75	311.20
72.22	124.50	321.10
72.22	125.25	331.40
72.22	126.00	334.90
72.22	127.50	337.60
72.22	129.00	361.20
72.22	139.50	306.20
72.22	140.25	277.70
72.22	141.00	288.60
72.22	141.75	293.90
72.22	142.50	299.20
72.22	143.25	296.40
72.22	144.00	285.80
72.22	144.75	270.90
72.22	145.50	253.50
72.22	146.25	286.40
72.22	147.00	245.80
72.22	147.75	249.70
72.22	148.50	259.90
71.48	-180.00	329.70
71.48	-179.25	320.00
71.48	-178.50	297.90
